Country;,;Energy_consumption;,;Energy_production;,;GDP;,;Population;,;Energy_intensity_per_capita;,;Energy_intensity_by_GDP;,;CO2_emission;;Country,Energy_consumption,Energy_production,GDP,Population,Energy_intensity_per_capita,Energy_intensity_by_GDP,CO2_emission
Qatar;,;2.05;,;9.65;,;247.05;,;2 828.95;,;723.58;,;8.29;,;105.34;;Qatar,2.046976960031,9.65251699983706,247.046,2828.95,723.58188021386,8.2858130066101,105.34120271
Norway;,;1.79;,;8.86;,;330.28;,;5 352.82;,;333.83;,;5.41;,;38.06;;Norway,1.78694504606537,8.85742787942115,330.2825,5352.817,333.832642899126,5.41035339766828,38.055784902
Kazakhstan;,;3.35;,;8.14;,;464.79;,;18 544.50;,;180.79;,;7.21;,;269.71;;Kazakhstan,3.3527255277217,8.14028390762613,464.79,18544.5,180.793525181142,7.21342009880097,269.713173947
Kuwait;,;1.61;,;7.12;,;180.99;,;4 199.08;,;382.71;,;8.88;,;92.89;;Kuwait,1.60704049567045,7.12355145155037,180.991,4199.08,382.712521712008,8.87911827477863,92.889166266
Algeria;,;2.64;,;6.43;,;509.07;,;43 030.40;,;61.43;,;5.19;,;145.99;;Algeria,2.6435026544526,6.42979018245966,509.066,43030.4,61.4333739508024,5.19284857848021,145.987969135
Nigeria;,;1.70;,;6.02;,;1 015.89;,;201 050.80;,;8.46;,;1.67;,;101.19;;Nigeria,1.70141462820609,6.02430532719017,1015.889,201050.8,8.46261058501678,1.67480367265133,101.193925365
South Africa;,;5.65;,;5.91;,;785.22;,;58 650.23;,;96.26;,;7.19;,;455.45;;South Africa,5.64554104009641,5.91338864282492,785.223,58650.23,96.2577817699336,7.18972959286268,455.448598942
Mexico;,;7.99;,;5.91;,;2 384.14;,;127 745.80;,;62.52;,;3.35;,;456.15;;Mexico,7.98649352210001,5.90985687062291,2384.142,127745.8,62.51863875055,3.34983970002626,456.148338455
United Kingdom;,;8.10;,;5.46;,;2 992.82;,;66 827.70;,;121.14;,;2.70;,;411.17;;United Kingdom,8.09545141423599,5.46395699925163,2992.817,66827.7,121.139159573589,2.70496038155223,411.167847675
Colombia;,;1.75;,;5.07;,;690.99;,;50 225.20;,;34.90;,;2.54;,;75.95;;Colombia,1.75310733327427,5.07332804396399,690.987,50225.2,34.9049348389707,2.53710610080113,75.94596771
Malaysia;,;3.96;,;4.51;,;908.76;,;32 005.27;,;123.76;,;4.36;,;247.43;;Malaysia,3.96081632827229,4.51493580161344,908.76,32005.27,123.755129335646,4.35848444943911,247.428983914
Egypt;,;4.02;,;4.05;,;1 291.81;,;100 370.00;,;40.07;,;3.11;,;235.49;;Egypt,4.02181667462924,4.05086839118227,1291.81,100370,40.0699080863728,3.11331904430933,235.494498177
Turkmenistan;,;1.96;,;3.63;,;110.94;,;5 940.01;,;330.62;,;17.70;,;97.31;;Turkmenistan,1.96390135599203,3.6281478174764,110.936,5940.01,330.622567300734,17.7030121510784,97.306322119
Venezuela;,;2.45;,;3.55;,;190.15;,;28 515.85;,;85.83;,;12.87;,;131.49;;Venezuela,2.44747472844339,3.55169986737839,190.1472,28515.85,85.8285735281744,12.8714739341068,131.48505504
Argentina;,;3.55;,;3.49;,;833.50;,;44 832.70;,;79.08;,;4.25;,;191.36;;Argentina,3.54550709937026,3.49336783616646,833.501,44832.7,79.0830598953502,4.25375266420828,191.358658271
Oman;,;1.35;,;3.41;,;141.21;,;4 618.00;,;292.02;,;9.55;,;75.87;;Oman,1.34855966735441,3.4069135196418,141.208,4618,292.022448539284,9.55016477362767,75.869640578
Thailand;,;5.34;,;2.74;,;1 248.42;,;69 647.88;,;76.71;,;4.28;,;303.67;;Thailand,5.34295206838816,2.73721401017465,1248.417,69647.88,76.7137789174367,4.27978157009089,303.667169932
Vietnam;,;3.51;,;2.56;,;915.50;,;96 425.90;,;36.39;,;3.83;,;241.81;;Vietnam,3.50908554721492,2.5563721056978,915.504,96425.9,36.3915249659575,3.8329549048556,241.806422052
Poland;,;4.29;,;2.36;,;1 217.99;,;37 963.62;,;113.00;,;3.52;,;319.67;;Poland,4.28982420656857,2.36131153471167,1217.987,37963.62,112.998291695275,3.52206074988368,319.670314026
Ukraine;,;3.48;,;2.33;,;487.70;,;42 153.20;,;82.57;,;7.14;,;202.51;;Ukraine,3.48064442684319,2.3344879269428,487.698,42153.2,82.5712977150772,7.13688476648088,202.513341064
Uzbekistan;,;1.90;,;2.19;,;257.44;,;32 966.10;,;57.71;,;7.39;,;99.39;;Uzbekistan,1.90243158020287,2.19133958385027,257.435,32966.1,57.7087244230549,7.38994923069075,99.389348903
Turkey;,;6.61;,;2.10;,;2 338.02;,;83 524.67;,;79.13;,;2.83;,;397.80;;Turkey,6.60900004012445,2.10216773770633,2338.015,83524.67,79.1263232781938,2.82675690281048,397.800544326
Pakistan;,;3.43;,;1.93;,;1 039.88;,;216 564.00;,;15.86;,;3.30;,;192.90;;Pakistan,3.4344142024185,1.92766379044206,1039.88,216564,15.8586570363426,3.30270242952889,192.896993866
Sweden;,;2.17;,;1.55;,;524.62;,;10 291.05;,;210.88;,;4.14;,;47.08;;Sweden,2.17019541314018,1.55425693132,524.62,10291.05,210.881825774841,4.13669973150125,47.079863482
Spain;,;5.79;,;1.55;,;1 796.29;,;47 184.25;,;122.70;,;3.22;,;293.78;;Spain,5.78946567850598,1.55059692244979,1796.293,47184.25,122.699114185474,3.22300742613036,293.779473717
Italy;,;6.72;,;1.44;,;2 340.37;,;59 910.75;,;112.22;,;2.87;,;339.58;;Italy,6.72336385977354,1.44341160582849,2340.371,59910.75,112.222996036162,2.87277694851523,339.577060466
Netherlands;,;3.82;,;1.41;,;934.92;,;17 360.55;,;219.92;,;4.08;,;216.83;;Netherlands,3.81795634292033,1.41114468257697,934.921,17360.55,219.921393211639,4.08372080948051,216.830355385
Peru;,;1.19;,;1.17;,;402.28;,;32 462.70;,;36.52;,;2.95;,;52.92;;Peru,1.18550609651415,1.1672519969393,402.28,32462.7,36.5190232640585,2.94696752638498,52.918496178
Bangladesh;,;1.62;,;1.11;,;798.11;,;163 021.00;,;9.92;,;2.03;,;90.78;;Bangladesh,1.61663273574804,1.10910708219381,798.113,163021,9.91671463031171,2.02556872992677,90.78163083
Romania;,;1.39;,;1.04;,;522.91;,;19 360.95;,;71.74;,;2.66;,;73.68;;Romania,1.38887328636642,1.03585107010428,522.905,19360.95,71.7358025492771,2.65607191816185,73.684118621
