Country,Energy_consumption,Energy_production,GDP,Population,Energy_intensity_per_capita,Energy_intensity_by_GDP,CO2_emission
Qatar,2.046976960031,9.65251699983706,247.046,2828.95,723.58188021386,8.2858130066101,105.34120271
Norway,1.78694504606537,8.85742787942115,330.2825,5352.817,333.832642899126,5.41035339766828,38.055784902
Kazakhstan,3.3527255277217,8.14028390762613,464.79,18544.5,180.793525181142,7.21342009880097,269.713173947
Kuwait,1.60704049567045,7.12355145155037,180.991,4199.08,382.712521712008,8.87911827477863,92.889166266
Algeria,2.6435026544526,6.42979018245966,509.066,43030.4,61.4333739508024,5.19284857848021,145.987969135
Nigeria,1.70141462820609,6.02430532719017,1015.889,201050.8,8.46261058501678,1.67480367265133,101.193925365
South Africa,5.64554104009641,5.91338864282492,785.223,58650.23,96.2577817699336,7.18972959286268,455.448598942
Mexico,7.98649352210001,5.90985687062291,2384.142,127745.8,62.51863875055,3.34983970002626,456.148338455
United Kingdom,8.09545141423599,5.46395699925163,2992.817,66827.7,121.139159573589,2.70496038155223,411.167847675
Colombia,1.75310733327427,5.07332804396399,690.987,50225.2,34.9049348389707,2.53710610080113,75.94596771
Malaysia,3.96081632827229,4.51493580161344,908.76,32005.27,123.755129335646,4.35848444943911,247.428983914
Egypt,4.02181667462924,4.05086839118227,1291.81,100370,40.0699080863728,3.11331904430933,235.494498177
Turkmenistan,1.96390135599203,3.6281478174764,110.936,5940.01,330.622567300734,17.7030121510784,97.306322119
Venezuela,2.44747472844339,3.55169986737839,190.1472,28515.85,85.8285735281744,12.8714739341068,131.48505504
Argentina,3.54550709937026,3.49336783616646,833.501,44832.7,79.0830598953502,4.25375266420828,191.358658271
Oman,1.34855966735441,3.4069135196418,141.208,4618,292.022448539284,9.55016477362767,75.869640578
Thailand,5.34295206838816,2.73721401017465,1248.417,69647.88,76.7137789174367,4.27978157009089,303.667169932
Vietnam,3.50908554721492,2.5563721056978,915.504,96425.9,36.3915249659575,3.8329549048556,241.806422052
Poland,4.28982420656857,2.36131153471167,1217.987,37963.62,112.998291695275,3.52206074988368,319.670314026
Ukraine,3.48064442684319,2.3344879269428,487.698,42153.2,82.5712977150772,7.13688476648088,202.513341064
Uzbekistan,1.90243158020287,2.19133958385027,257.435,32966.1,57.7087244230549,7.38994923069075,99.389348903
Turkey,6.60900004012445,2.10216773770633,2338.015,83524.67,79.1263232781938,2.82675690281048,397.800544326
Pakistan,3.4344142024185,1.92766379044206,1039.88,216564,15.8586570363426,3.30270242952889,192.896993866
Sweden,2.17019541314018,1.55425693132,524.62,10291.05,210.881825774841,4.13669973150125,47.079863482
Spain,5.78946567850598,1.55059692244979,1796.293,47184.25,122.699114185474,3.22300742613036,293.779473717
Italy,6.72336385977354,1.44341160582849,2340.371,59910.75,112.222996036162,2.87277694851523,339.577060466
Netherlands,3.81795634292033,1.41114468257697,934.921,17360.55,219.921393211639,4.08372080948051,216.830355385
Peru,1.18550609651415,1.1672519969393,402.28,32462.7,36.5190232640585,2.94696752638498,52.918496178
Bangladesh,1.61663273574804,1.10910708219381,798.113,163021,9.91671463031171,2.02556872992677,90.78163083
Romania,1.38887328636642,1.03585107010428,522.905,19360.95,71.7358025492771,2.65607191816185,73.684118621
